ticker,yearReport,Market Capital (Bn. VND),P/E,P/B,EPS (VND),BVPS (VND),ROE (%),ROA (%),Net Profit Margin (%)
AAV,2014,28300000000.0,-66.6488209542,3.124069333,-424.613663,9058.697802,-0.0186510169,-0.0016035225,-0.0289654404191684
ABB,2023,8073287040000.0,19.5158210314,0.5989433244,438.1506048867055,13022.9350299429,0.0341844998,0.0031035654,0.1644191913149344
ABB,2022,7445714402300.0,5.5996287846,0.5704045226,1441.8770194413692,13872.6109044812,0.1094911747,0.0108070046,0.3603168870074202
ABB,2021,5559271202400.0,3.6377474957,0.4739741061,2238.1323153704902,16827.9235047236,0.1511576563,0.0131475189,0.5090376670344189
ABB,2020,12516290151200.0,11.5367401549,1.4045337189,1956.3008894973916,15598.059132025,0.1334187013,0.010210461,0.4692989343896779
ABB,2019,11882134497200.0,11.8741194666,1.5150413517,1751.540403359709,13727.6781103965,0.1360396109,0.0103936637,0.4037825854674988
ABB,2018,11063487780800.0,15.4754223707,1.6107000305,1343.9374707679074,12912.3980918493,0.1100929567,0.0081937314,0.3507024773117488
ABB,2017,11063487780800.0,22.6323097742,1.8081763264,918.951720238158,11502.1968246616,0.0817379677,0.0061614913,0.224047695544905
ABB,2016,11063487780800.0,45.358149925,1.8936345296,458.5284019388303,10983.1119339125,0.0419358391,0.0035210496,0.1335819710287795
ABB,2015,9978880400000.0,109.3228497245,1.7233904309,190.24385160483536,12068.0721133806,0.0158668312,0.0013846984,0.0554127591582607
ABB,2014,9978880400000.0,85.3092628213,1.7459709387,243.79533138807835,11911.9966652772,0.0204143998,0.0018701832,0.0786916412205267
ABC,2023,210476153000.0,9.50036218,0.4224687166,1290.8472563624773,24430.2112654342,0.0525632964,0.0377884874,0.0244034571907954
ABC,2022,266720047000.0,0.3455484277,0.5298207815,38136.39492232629,24685.7059175207,6.7888451292,0.92800383,0.5603583236390324
ABC,2021,111039885000.0,-0.189180967,0.0,-28781.965155200312,0.0,-8.6435869705,-0.6503436436,-0.3847519127272624
ABC,2020,277650695000.0,-1.5301679027,0.8879887507,-8897.716371892317,15332.4014406904,-0.3896113056,-0.2086942536,-0.0538217266152433
ABC,2019,277426372000.0,11.7257579237,0.5399625881,1336.8591394596183,25194.3380883146,0.0481876398,0.0322661736,0.0118837754580969
ABC,2018,277426372000.0,11.5395926292,0.542964532,1178.8977684989948,25055.0435588192,0.0433974576,0.0311805242,0.0256859741301581
ABC,2017,277426372000.0,0.8760884577,0.5622923799,15528.11235012014,24193.818885647,0.5130097409,0.3352624289,0.0747543933271288
ABC,2016,277426372000.0,3.3654468413,0.4765257487,4042.25668729466,28548.2999334576,0.1263065342,0.0791615668,0.0112827153173434
ABC,2015,277426372000.0,3.5422981467,0.4771083988,3840.444659540038,28513.4364318639,0.129708408,0.0946011858,0.0190853107203498
ABC,2014,277426372000.0,5.0368044932,0.492330483,2700.9188104251457,27631.8458244986,0.0949839625,0.0719230541,0.023322011356874
ABI,2023,1808056348000.0,9.7552567336,1.180052836,3402.48938416325,21165.1539981282,0.1684304542,0.0653908257,0.1264666700938555
ABI,2022,1326520781993.0,7.9730925144,0.9525421533,4301.969550898953,27010.8781137348,0.1688292022,0.064371259,0.1177243347175598
ABI,2021,1513069836085.0,7.1872232219,1.2252788816,6314.5497748901325,28613.077828917,0.2390799241,0.0864732682,0.1538629872368465
ABI,2020,2267612000000.0,10.0062340569,2.1702129209,7711.050627631579,27496.8411743158,0.3027136034,0.1054545049,0.1751455420974627
ABI,2019,2504656000000.0,14.0084941692,2.8108257072,6381.461053763158,23449.3372645,0.2957705109,0.1029797489,0.1697681404479914
ABI,2018,2504656000000.0,21.3346780551,3.3454304921,4521.009208736842,19702.0981773684,0.2443004288,0.0873886485,0.1415007890342409
ABI,2017,2504656000000.0,26.9439015533,3.8077889469,3377.846792789473,17309.7829000789,0.2038203243,0.0769266883,0.1298666632705058
ABI,2016,2504656000000.0,29.6238872179,4.1622790406,2924.961211710526,15835.5553188684,0.1918352885,0.0783052286,0.1225434702051736
ABI,2015,2504656000000.0,42.0243305354,4.4963653844,2153.356410868421,14658.9510338947,0.1503255696,0.0671080167,0.1194807564142867
ABI,2014,2504656000000.0,21.7350396358,4.7112690702,3032.522650263158,13990.2856358684,0.2315269415,0.1091173811,0.2115882269572465
ABR,2023,297000000000.0,9.5860859717,0.939462206,1549.12026075,15806.9158128,0.1030523953,0.0819353969,0.5772110345917107
ABR,2022,275000000000.0,9.3566864799,0.964384708,1469.5373228,14257.79555205,0.1086692598,0.0858502953,0.2821188702488514
ABR,2021,174200000000.0,9.0143503549,0.6810935347,966.23712825,12788.25822925,0.0785230525,0.064961724,0.2120009370247663
ABR,2020,496000000000.0,20.0577173823,2.0977800486,1236.4318196,11822.021101,0.1103582041,0.091439138,0.251669800674796
ABR,2019,496000000000.0,59.0588265919,2.3428076927,419.92029695,10585.5892814,0.0685513745,0.0570498957,0.310504825046949
ABR,2018,74400000000.0,43.0895035012,2.2333368963,575.5462,11104.4598963333,0.0513793232,0.0462784547,0.081253019096762
ABR,2017,74400000000.0,98.3248912934,2.2098758029,252.22504366666664,11222.350128,0.0225783318,0.0204489439,0.0265645586936993
ABR,2016,74400000000.0,42.0109922744,2.2606852528,590.321691,10970.1250843333,0.0551118472,0.0470759149,0.0584867872175229
ABR,2015,74400000000.0,65.4287862757,2.3892552739,379.03805666666665,10379.8033933333,0.0365168821,0.0285260697,0.0456995689588463
ABS,2023,332000000000.0,40.0627021303,0.3632531271,103.5876208875,11424.5403284875,0.0091084085,0.00510209,0.0080831327287469
ABS,2022,463200000000.0,20.5504145991,0.5114410553,281.74614055,11320.9527076,0.0246055708,0.0138186091,0.0140404782537396
ABS,2021,417600000000.0,6.7263329836,0.450775196,816.89932025,11580.0515330625,0.0959864978,0.0473042502,0.0545211970235828
ABS,2020,1029596507500.0,22.6214426961,2.365331953,1279.642894995931,11626.2751050998,0.1142455525,0.0522618782,0.0433978754581459
ABS,2019,601920000000.0,19.1876864274,1.4920147214,1146.568664375,14007.9046805556,0.0853485566,0.0530884157,0.0417689050468466
ABS,2018,601920000000.0,20.3526909098,1.6251937431,1026.8912397222225,12860.0052079861,0.083172258,0.0530099171,0.06260287653747
ABS,2017,601920000000.0,20.6811318559,1.7662299253,1010.5829867361113,11833.1139682639,0.0892124668,0.0578317333,0.0516071806799913
ABS,2016,601920000000.0,36.7202011611,1.9311564028,569.1689952430555,10822.5309815625,0.0525911172,0.034774539,0.0363404834298908
ABT,2023,561101073000.0,9.2471891119,1.1431925034,4439.471398513972,34114.9892827009,0.1328290976,0.1002753353,0.1199096929168087
ABT,2022,503552245000.0,8.2448655305,1.0693594663,4468.490738542929,32729.8734452073,0.1445531858,0.1056679264,0.1042572538717014
ABT,2021,489520082900.0,15.2430419327,1.1694341103,2395.45707339518,29672.4712358726,0.0815002068,0.0593931784,0.0989125203049368
ABT,2020,503627289900.0,36.3615815907,1.2263151882,981.8054781502816,29111.6022563502,0.0336249377,0.0255984888,0.0435400654893692
ABT,2019,450019903300.0,9.7399313282,1.0892629563,3451.809366021212,29285.8577587328,0.1169410189,0.0906798416,0.1348341044439969
ABT,2018,450019903300.0,7.3529717943,1.0722980738,4730.134142640708,29749.1908080742,0.1620028292,0.1140772107,0.1685337580009976
